name,rating,reviews,company_type,Head_Quarters
Shree Cement,3.8,(2.8k),Building Material,Beawar +257 other locations
Fiserv,2.9,(2.8k),FinTech,Pune +32 other locations
Britannia,4.0,(2.8k),FMCG,Pune +306 other locations
UnitedHealth,4.0,(2.8k),Healthcare,Hyderabad +18 other locations
Landmark Group,3.8,(2.8k),Retail,Bengaluru +175 other locations
SRF,4.1,(2.8k),Chemicals,Bharuch +68 other locations
Zepto,3.5,(2.8k),Internet,Bengaluru +104 other locations
Dalmia Bharat Cement,3.9,(2.7k),Building Material,Guwahati +253 other locations
Tata Electronics,3.9,(2.7k),Semiconductors,Hosur +50 other locations
Kansai Nerolac Paints,3.8,(2.7k),Chemicals,Mumbai +253 other locations
Blue Dart Express Ltd,3.9,(2.7k),Logistics,Mumbai +279 other locations
Exide Industries,3.4,(2.7k),Auto Components,Kolkata +201 other locations
Nestlé,3.8,(2.7k),FMCG,Gurugram +281 other locations
Shell,3.9,(2.7k),Oil & Gas,Bengaluru +91 other locations
Whitehat jr,3.3,(2.7k),EdTech,Mumbai +48 other locations
KPMG Global Services,3.5,(2.7k),Management Consulting,Bengaluru +37 other locations
ZS,3.1,(2.7k),Management Consulting,Pune +17 other locations
Flex,3.9,(2.7k),Electronics Manufacturing,Chennai +46 other locations
Micro Labs,3.6,(2.7k),Pharma,Bengaluru +152 other locations
Star Health & Allied Insurance,3.5,(2.7k),Insurance,Chennai +330 other locations
Capita,3.5,(2.7k),BPO,Pune +31 other locations
ElasticRun,3.6,(2.7k),Logistics,Pune +385 other locations
TVS Supply Chain Solutions,3.8,(2.6k),Logistics,Chennai +154 other locations
KFintech,3.4,(2.6k),Financial Services,Hyderabad +113 other locations
G4S,4.0,(2.6k),Law Enforcement & Security,Gurugram +163 other locations
Voltas,4.0,(2.6k),Consumer Electronics & Appliances,Mumbai +206 other locations
Exl India,3.6,(2.6k),Logistics,New Delhi +44 other locations
Sonalika Tractors,3.6,(2.6k),Automobile,Hoshiarpur +194 other locations
Ajanta Pharma,3.9,(2.6k),Pharma,Mumbai +118 other locations
Blue Star,4.1,(2.6k),Consumer Electronics & Appliances,Mumbai +147 other locations
Care Health Insurance,3.6,(2.6k),Insurance,Gurugram +246 other locations
BlackBuck,3.7,(2.6k),Internet,Bengaluru +365 other locations
Domino's Pizza,3.9,(2.6k),Hospitality,New Delhi +251 other locations
Movate,3.1,(2.6k),IT Services & Consulting,Chennai +38 other locations
Gallagher,3.7,(2.6k),Insurance,Bengaluru +29 other locations
NoBroker,3.0,(2.6k),Internet,Bengaluru +47 other locations
Fortis Healthcare,4.0,(2.6k),Healthcare,New Delhi +70 other locations
Adani Power,3.7,(2.6k),Power,Mundra +128 other locations
Himalaya Wellness,4.0,(2.5k),Pharma,Bengaluru +241 other locations
DBS Bank,3.7,(2.5k),Banking,Hyderabad +177 other locations
ACT Fibernet,3.9,(2.5k),Telecom,Hyderabad +57 other locations
Physicswallah,3.6,(2.5k),EdTech,Noida +126 other locations
